sampling_station,sampling_activity,Sample_1,Sample_2,Sample_3
BIOT-001,BIOT-001S,0,0,0
BIOT-002,BIOT-002S,0,0,0
BIOT-003,BIOT-003S,0,0,0
BIOT-004,BIOT-004S,0,0,0
BOWM-002,BOWM-002S,0,0,0
BOWM-004,BOWM-004S,0,0,0
BOWM-005,BOWM-005S,0,0,0
FORD-001,FORD-001S,0,0,0
LAWH-003,LAWH-003S,0,0,0
OCON-001,OCON-001S,0,0,0
OCON-003,OCON-003S,0,0,0
OGON-003,OGON-003S,0,0,0
OSHA-004,OSHA-004S,0,0,0
OSHA-005,OSHA-005S,0,0,0
THES-001,THES-001S,0,0,0
THES-002,THES-002S,0,0,0
OSHA-001,OSHA-001S,0,1,0
BOWM-003,BOWM-003S,0,1,1
LAWH-005,LAWH-005S,0,2,0
GRAV-005,GRAV-005S,0,0,3
ONTO-002,ONTO-002S,0,0,3
BIOT-005,BIOT-005S,0,2,2
LAWH-004,LAWH-004S,2,1,2
ONTO-004,ONTO-004S,5,0,1
GRAV-004,GRAV-004S,3,2,2
OGON-004,OGON-004S,0,8,0
THES-003,THES-003S,0,8,0
BOWM-001,BOWM-001S,5,6,2
OCON-005,OCON-005S,1,6,6
OSHA-003,OSHA-003S,2,5,7
OSHA-002,OSHA-002S,3,4,8
OCON-002,OCON-002S,6,8,2
OCON-004,OCON-004S,4,7,5
ONTO-005,ONTO-005S,7,1,8
BATC-002,BATC-002S,8,1,8
ONTO-001,ONTO-001S,8,7,6
FORD-005,FORD-005S,8,8,6
BATC-003,BATC-003S,8,7,8
FORD-002,FORD-002S,8,7,8
BATC-001,BATC-001S,8,8,8
FORD-003,FORD-003S,8,8,8
FORD-004,FORD-004S,8,8,8
GARD-001,GARD-001S,8,8,8
GARD-002,GARD-002S,8,8,8
GARD-003,GARD-003S,8,8,8
GRAV-001,GRAV-001S,8,8,8
GRAV-002,GRAV-002S,8,8,8
GRAV-003,GRAV-003S,8,8,8
LAWH-001,LAWH-001S,8,8,8
LAWH-002,LAWH-002S,8,8,8
OGON-001,OGON-001S,8,8,8
OGON-002,OGON-002S,8,8,8
OGON-005,OGON-005S,8,8,8
ONTO-003,ONTO-003S,8,8,8
BIOT-001,BIOT-001F,0,0,0
BIOT-002,BIOT-002F,0,0,0
BIOT-003,BIOT-003F,0,0,0
BIOT-004,BIOT-004F,3,0,1
BOWM-002,BOWM-002F,0,0,0
BOWM-004,BOWM-004F,0,0,0
BOWM-005,BOWM-005F,0,0,0
FORD-001,FORD-001F,8,7,7
LAWH-003,LAWH-003F,2,0,8
OCON-001,OCON-001F,0,0,0
OCON-003,OCON-003F,3,7,4
OGON-003,OGON-003F,7,8,2
OSHA-004,OSHA-004F,0,0,0
OSHA-005,OSHA-005F,0,0,0
THES-001,THES-001F,,,2
THES-002,THES-002F,,,5
OSHA-001,OSHA-001F,8,8,8
BOWM-003,BOWM-003F,0,0,0
LAWH-005,LAWH-005F,1,3,0
GRAV-005,GRAV-005F,0,0,0
ONTO-002,ONTO-002F,8,8,8
BIOT-005,BIOT-005F,0,1,8
LAWH-004,LAWH-004F,,7,5
ONTO-004,ONTO-004F,8,3,8
GRAV-004,GRAV-004F,4,7,8
OGON-004,OGON-004F,0,3,0
THES-003,THES-003F,,,2
BOWM-001,BOWM-001F,8,0,0
OCON-005,OCON-005F,,0,0
OSHA-003,OSHA-003F,7,6,6
OSHA-002,OSHA-002F,8,8,8
OCON-002,OCON-002F,8,8,2
OCON-004,OCON-004F,4,8,
ONTO-005,ONTO-005F,1,8,3
BATC-002,BATC-002F,6,6,8
ONTO-001,ONTO-001F,8,8,8
FORD-005,FORD-005F,2,0,0
BATC-003,BATC-003F,1,5,2
FORD-002,FORD-002F,8,8,8
BATC-001,BATC-001F,8,8,8
FORD-003,FORD-003F,8,8,8
FORD-004,FORD-004F,2,5,1
GARD-001,GARD-001F,8,8,8
GARD-002,GARD-002F,8,8,8
GARD-003,GARD-003F,8,8,8
GRAV-001,GRAV-001F,4,8,8
GRAV-002,GRAV-002F,8,8,8
GRAV-003,GRAV-003F,8,8,8
LAWH-001,LAWH-001F,1,3,8
LAWH-002,LAWH-002F,7,8,8
OGON-001,OGON-001F,7,7,
OGON-002,OGON-002F,8,8,8
OGON-005,OGON-005F,4,8,8
ONTO-003,ONTO-003F,7,8,8
BIOT-001,BIOT-001W,0,0,0
BIOT-002,BIOT-002W,0,0,0
BIOT-003,BIOT-003W,0,0,1
BIOT-004,BIOT-004W,,5,0
BOWM-002,BOWM-002W,0,1,0
BOWM-004,BOWM-004W,0,0,0
BOWM-005,BOWM-005W,0,0,0
FORD-001,FORD-001W,0,0,0
LAWH-003,LAWH-003W,5,8,3
OCON-001,OCON-001W,0,0,0
OCON-003,OCON-003W,0,5,4
OGON-003,OGON-003W,0,0,0
OSHA-004,OSHA-004W,0,0,0
OSHA-005,OSHA-005W,0,0,0
THES-001,THES-001W,0,0,2
THES-002,THES-002W,1,2,4
OSHA-001,OSHA-001W,8,4,3
BOWM-003,BOWM-003W,,0,0
LAWH-005,LAWH-005W,0,0,0
GRAV-005,GRAV-005W,0,2,0
ONTO-002,ONTO-002W,0,0,
BIOT-005,BIOT-005W,1,2,
LAWH-004,LAWH-004W,0,0,0
ONTO-004,ONTO-004W,0,4,3
GRAV-004,GRAV-004W,7,8,0
OGON-004,OGON-004W,8,5,8
THES-003,THES-003W,4,1,0
BOWM-001,BOWM-001W,0,8,0
OCON-005,OCON-005W,8,8,7
OSHA-003,OSHA-003W,6,6,3
OSHA-002,OSHA-002W,7,7,
OCON-002,OCON-002W,,,
OCON-004,OCON-004W,0,0,0
ONTO-005,ONTO-005W,3,6,4
BATC-002,BATC-002W,6,8,3
ONTO-001,ONTO-001W,8,5,8
FORD-005,FORD-005W,3,6,2
BATC-003,BATC-003W,4,0,0
FORD-002,FORD-002W,8,0,2
BATC-001,BATC-001W,8,8,8
FORD-003,FORD-003W,8,6,8
FORD-004,FORD-004W,1,0,0
GARD-001,GARD-001W,4,8,8
GARD-002,GARD-002W,8,8,8
GARD-003,GARD-003W,7,4,5
GRAV-001,GRAV-001W,0,0,0
GRAV-002,GRAV-002W,1,0,0
GRAV-003,GRAV-003W,8,5,8
LAWH-001,LAWH-001W,3,7,3
LAWH-002,LAWH-002W,4,6,7
OGON-001,OGON-001W,7,8,7
OGON-002,OGON-002W,7,7,8
OGON-005,OGON-005W,6,8,3
ONTO-003,ONTO-003W,2,0,2
