station_lat,station_long,sampling_station
42.745518,-80.832745,BIOT-001
42.787812,-80.720867,BIOT-002
42.85703,-80.724209,BIOT-003
42.864084,-80.714178,BIOT-004
42.886033,-80.660343,BIOT-005
43.867724,-78.844613,OSHO-001
43.87235,-78.850306,OSHO-002
43.887553,-78.8645,OSHO-003
43.945008,-78.881665,OSHO-004
43.974871,-78.929786,OSHO-005
43.898411,-78.674767,BOWM-001
43.910399,-78.690645,BOWM-002
43.920298,-78.668206,BOWM-003
43.932914,-78.674846,BOWM-004
43.96379,-78.67672,BOWM-005
46.10401,-87.78587,FORD-001
45.93102,-87.35685,FORD-002
45.79686,-87.22845,FORD-003
45.73479,-87.19233,FORD-004
45.80943,-87.36899,FORD-005
46.51652,-87.02549,LAWH-001
46.50416,-87.04272,LAWH-002
46.4782,-87.04424,LAWH-003
46.46438,-87.04305,LAWH-004
46.45513,-87.04317,LAWH-005
45.00438,-88.24268,OCON-001
44.96033,-88.21325,OCON-002
44.95124,-88.16454,OCON-003
44.95132,-88.1065,OCON-004
44.97258,-88.04583,OCON-005
45.919361,-86.787889,OGON-001
45.920076,-86.786116,OGON-002
45.93518,-86.78304,OGON-003
45.92189,-86.80205,OGON-004
45.88987,-86.78896,OGON-005
46.48688,-88.8891,ONTO-001
46.45021,-88.91329,ONTO-002
46.72145,-89.20639,ONTO-003
46.65849,-89.04727,ONTO-004
46.67538,-89.06886,ONTO-005
47.09321,-88.84667,GRAV-001
47.10915,-88.8456,GRAV-002
47.00694,-88.835,GRAV-003
47.06318,-88.84658,GRAV-004
47.07017,-88.82307,GRAV-005
46.57525,-84.09898,GARD-001
46.624657,-84.003345,GARD-002
46.653411,-83.935874,GARD-003
46.94526686,-84.50564954,BATC-001
46.962504,-84.50492,BATC-002
46.966598,-84.510753,BATC-003
46.48133,-83.72021,THES-001
46.49763,-83.71413,THES-002
46.53069,-83.70972,THES-003
